,titles,users,descriptions,dates
116,Hope!!!,sundaram-sunil,"I watched this movie for the umpteenth time probably last Sunday and how much I loved it yet again!!! A movie I would never ever get bored of and definitely, one of my all time favorites. A simple yet wonderful story about HOPE!!! HOPE – One word that drives all of us and gives us reason to live. We push ourselves through our mundane lives in the hope of achieving / finding something that we dream of. In the words of this movie's protagonist – ""hope is a good thing, maybe the best of things, and no good thing ever dies""!!! Superlative performances by Tim Robbins and Morgan Freeman.A must watch if you haven't!!!

                    8 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",6 May 2011
117,prison escape,sefa-kayabasi-739-747500,"This film manages to redeem Hollywood in the eyes of people who feared it long lost in a dark sea of clichés and predictability. Darabont shows us that artists still work in the Hollywood studios and production facilities. These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you. The Shawshank Redemption delivers much-needed breath of fresh air for anyone who realizes the capability of film. It proves that masters of the craft still live on this earth, and still bless us with timeless masterpieces that we will never forget.These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you...

                    8 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",16 July 2013
118,Escape from Shawshank,MovieAddict2016,"It is the most basic of all principles of film-making: A story of redemption. This time the story is set inside Shawshank Prison, where successful banker Andy Dufresne (Tim Robbins) is sent to during the 40s, after being falsely accused of murdering his wife and her lover. The jail veteran, Red (Morgan Freeman), sees Andy being forced through the front gates of the jail on his first day of arrival and sees him as a weakling. Red even makes a bet with the fellow inmates that he won't last. He's wrong.Andy does last, and becomes an inspiration to all of those behind bars. The warden of the jail, Samuel Norton (Bob Gunton), is intent on bringing down Andy and his defiant nature, as all villains always are.That is the prevailing message, I suppose. The redemption comes two-fold -- Andy is given time to reflect upon his life in Shawshank, and Red (who is obviously deeply moved by Andy's influence) learns a thing or two, going through a cleansing process. We see the gradual change, too -- first Red is the cynical veteran, then the curious insider, then the close friend, then the surprised object of redemption. As strange a title it may be, ""The Shawshank Redemption"" is a worthy one.At the end of the day, ""Shawshank"" is a good film - but far from a perfect one. I'm not interested in responding to its Top 250 placement with my review (as countless others have done), but the fact that it has been voted into the number one slot is a reflection of how universal its appeal is: it's about as likable and mass-marketed as possible. There's nothing here to really offend or provoke and the film doesn't take enough changes to potentially polarize audiences -- it plays it safe, and in my opinion, a bit too safe. The film's message of hope and redemption is way too heavy-handed, the outcome being a movie that is very simple and easy to digest -- but not really very interesting beyond its surface. It speaks volumes that so many people who have gone through depression often reference this as one of the aids they used for comfort -- it's a movie that pats people on the back and gives them hope and inspiration. That's a great message, but if you provide it without any challenge to the audience -- and instead just spoon feed it -- well, for me, anyway, it doesn't leave much of an impact. It's just a well-made but manipulative and self-important film.",18 December 2003
119,"Frankly, I don't get it",Buckywunder,"''He that lives upon hope will die fasting.'' - Benjamin Franklin Frankly, I really don't get the praise for this film. It wouldn't even be in my Top 250. The only thing my spouse has been able to glean from researching the topic on the internet is that psychologically people seem to like the film more and more upon repeated viewings. Well, that and Morgan Freeman's calming voice. Not that challenging cinematically and a bit of a fantasy that pawns itself off as gritty realism, to be honest. Not to be an alarmist, but part of me wonders whether this film would be Exhibit A should the country ever descend into a fascist dictatorship much like ""From Caligari to Hitler"" by Siegfried Kracauer examined German film during the rise of the Nazi's after World War I. There is something going on on a group psychology level here that bears examination.",28 August 2013
120,Hope Springs Eternal:Rita Hayworth And The Shawshank Redemption.,morrison-dylan-fan,"After just seeing this,i have to say i think its one of the best adaptations of a Stephen King story.And one of the few films that can be called a ""moden classic"". The Plot:After the police in Maine find the bodies of a married woman and her lover,who were shot eight times.They bring in the married woman's husband.A hot-shot banker Andy Dufren(Tim""The Mystic River"" Robbins) .Who clams that he is not guilty.At the end of the case,Andy is found guilty and given two life sentences at Shawshank prison Maine.When he is first there he is very closed off from everyone.And has fights with a prison group called ""The Sisters"".Until he tells a guard how to keep money from a will.While in there,he gets the trust of the guards and the warden and builds a strong friendship with a black marketeer named Red(played fantastically by Morgan""The Dreamcatcher,The Se7ven""Freeman).Things are going well,till an inmate Tommy,tells Andy,that in a prison he was in,he met the man who did the murder Andys in Shawshank for.The warden,who thinks Tommy is to much of a risk for his money business due to Andy doing all work for him),so he kills Tommy.After this,Andy decides its time he gets out of Shawshank.View on the film:The cast. This is one of the rare films,where all the cast just click into there roles.The two leads Robbins and Freeman,who give some of there best work in this film.The way they work and build there friendship in the film,that is sadly rarely seen in any movies.The supporting characters in the film do a really good job at standing out and not feeling like they are just card-board cut outs.The main one in the supporting cast that stand out is James Whitmore as Brooks.who makes a very enjoyable characters,who you feel very sad,to see go out in a very sad way.The Screenply/Direction.Wirter/director Frank""The Green Mile"" Darabont (who made a student-film based on a King short story:The Woman in the Red Room),does a screenplay that easily improves on the short story.While Kings short story spent (i feel) a bit to much time on the exposition in his story,while Darabont makes sure to keep the set-up going at a good pace,and to tighten some of the story lines(Brooks was hardly in the short story,Tommy was not killed).But he makes sure to keep the feel of the story so they do not feel as strange add-ons to the story.The direction the Darabont does is to make sure to see the actors work build in the scenes,while doing a good job at keeping the film going at a pace that does not feel over-long (something that is rare with movies now). Final view on the film:A movie anyone can enjoy,from age 18-80!",9 March 2006
121,"The shortest long movie I've ever seen. Kept me wanting more and more, minute by minute.",Zaitzev,"At first, before starting the movie, I thought ""Sounds like a typical prison riot and break-out kind of movie"". At the beginning of the movie, my thoughts was even more convincing. A large prison (Which immediately reminded me of the movie ""The Last Castle"" from 2001), housing people of all sorts, having it's guards, warden and of course, the inmates. The typical inmate; Roughneck, hard on the outside, broken on the inside. And they all claim their innocence, as an internal joke sort of speak.It gets to a point where I started comparing it with others. That proved wrong in quite a short while, from the point where a prisoner, framed for murder of his wife and her lover, is being convicted and sentenced to life in prison. His name was Andy Dufresne. In short terms, a straight-up bank employee, excellent with numbers and taxes, which he also uses to benefit within the walls of the prison. His reputation as a numerological genius spreads out, and soon all kinds of people, inmates and guards, are coming to him for financial advice. He builds up a library, he maintains a strict surface. He has his hobbies, to keep his mind busy (as said in the movie). He carves chess pieces out of stone, using an axe as the tool. Seemingly, this is a nice and lucrative hobby, but underneath it all, he has a secret...The movie keeps the viewer thrilled and excited, because in every minute, something could happen. The dialog is good, Tim Robbins and Morgan Freeman, both great actors, shows and outstanding play. The crew really did good work on the set, the right camera angles, the light, sounds and so on...it was almost like I could smell the prison!A brilliant movie. Not too short, not too long. It's worth every minute watching! My highest recommendation for those who like drama, action and humor.",20 December 2002
122,One of the Best If You Get It,Matador07,"People look for all sorts of things in movies, and you can see it in the occasional negative review that pops up for this movie.  Some viewers are looking for gritty realism in everything on the screen.  Others are action junkies.  Still others perhaps take film too seriously and reduce moviemaking to nothing more than a game of who can come up with the edgiest shot, or the niftiest angle.  For all of these, there is the very real chance that they simply will not ""get"" this film, and that's too bad -- they are missing out on a classic.At its best, film can transcend merely being a series of pictures, no matter how pretty, and can reach down and touch people.  That is where Shawshank succeeds so brilliantly.  It is not the fastest moving movie, not the edgiest, not the grittiest, it is filmed in shades of gray.  But this movie absolutely sings with human spirit, and captures an universal human theme as well as any movie has ever done.  And THAT is filmmaking at its finest.  Not a game, not eye candy -- this movie stays with you long after the credits have rolled.",31 July 2003
123,Perfection!,brentn,"Andy Dufresne (Robbins), a well educated banker, is wrongfully convicted of killing his wife and her lover and sentenced to life in prison at Shawshank Penitentiary. This movie follows his life as it falls apart and he succumbs to living as an inmate surrounded by hardened criminals and a strict bible thumping warden with his henchmen prison guards.Saw this movie years ago and was absolutely stunned. This film is a genuine masterpiece and probably the greatest movie ever made. Tim Robbins and Morgan Freeman are amazing and just steal the show as convicts turned best friends. The movie is perfectly paced with very real characters and emotions that are all captivating. The prison itself is very authentic and the set pieces are very realistic which captured the prison environment better than any other prison set film except for maybe Escape From Alcatraz. Even as a hard drama this movie is never slow or boring or dry it is simply just that good.

                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",14 February 2021
124,The Shawshank Redemption,yaols-53324,"The classic can be recalled repeatedly. Andy is full of yearning for life and freedom. To get out of prison is a new life for him; and red, who has been used to prison life, has become numb. To get out of prison is death for him.

                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",7 June 2020
125,A CLASSIC,ben2104,"This film will stand the test of time 
And it will remain one of the best films ever madePlease do not remake this gem 
It must be left alone..Superb

                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",13 October 2018
126,The greatest movie ever made and to be made,Dessitta,"The Shawshank Redemption is a story of life itself. It is not about a person in prison, it is about the soul and the battle it accepts and carries on to deserve the life it has been given by God. I watched the movie for the first time some months ago. That evening I was about to go out with some friends but out meeting was canceled and I had to stay home. Being unhappy about that, I started watching the movie on the TV just by chance, not knowing about its existence before that at all. At first I was skeptic, I admit that. But oh God, at the end of it I was screaming and jumping in my room at 1 AM! It gave me so much emotions and so much hope, I had never felt before that. I could hardly believe that a movie could make me feel that way - so excited, so happy about my life, leaving me believing so much in my own self. It is a great story of what the strength of your thoughts can make you do. In The Shawshank Redemption desire does not make you weak, just the opposite - gives you wings to fly away from fear, fly closer and closer to freedom. Morgan Freeman's voice is just another advantage that makes the movie even more impressive. Tim Robbins' act is just beyond perfection! I bought the DVD this summer and every time I feel weak or just bad about something, I watch the movie. It has become my personal shrink, making me feel strong enough anytime I watch it. Can never imagine a better movie made anywhere in the world even after 1000 years!",23 December 2006
127,Without a doubt one of the best movies of all time,aaronmaclellan,"When I saw that the Shawshank Redemption was #1 on the top 250 movies of all time, I thought ""Yea, I could understand that"". I don't necessarily agree that it's absolutely the best, but it is so good that it makes sense that a forum of popular consensus for film rankings would rank it at the top.It is the story of Andy Dufresne, played by Tim Robbins and his time at Shawshank Prison. It is a perspective of what it is to be human and to have hope for the future even in the face of insurmountable adversity. It's funny, because I don't really think that any one particular thing stands out as spectacular. The performances are very good, but nothing really noteworthy. The characters all serve the story beautifully, but none of them really stand out from the others. Frank Darabont is great, the shots are exactly what they should be. Almost the entire film is shot at the prison, adding to the feeling of isolation and routine.And yet, we are captivated from the outset. Morgan Freeman could read a Sears catalogue and I'd pay to hear it, his narration breathes life into every scene that it's spoken over. The real beauty of this film is it's story, mostly about Andy and Red (Robbins and Freeman), but it's the way that each character contributes symbiotically to the development of the story that is the absolute mastery. Stephen King's novella ""Rita Hayworth and the Shawshank Redemption"" was the short story that was used as the basis for the film and it serves as evidence that King is not just a master of horror, but a true literary genius. Sure, he doesn't use as many fifty cent words as histories other great masters, but does anyone tell as good a story? King always gives his writing such distinct atmosphere and energy that you can't help but get swept away. The Shawshank Redemption is no different. If there is a film by which other films should be judged, this is as good as it can get. Powerful, engaging, visceral, despairing, a masterfully woven dialogue of what it means to be human. It's one of those journeys of the human spirit that just makes you feel happy to be alive.An amazing story translated beautifully to the screen. A masterpiece, 10/10.",18 June 2011
128,Relentless Storytelling,tedg,"I reviewed this film recently with a specific question in mind. At this writing, this film is ranked by IMDB viewers as the second best film ever made. The SECOND BEST EVER MADE!Why? This was my question.The acting is good. Robbins and Freeman are quality craftsmen in the Caine and Hackman tradition. But these are not truly great actors and in any case, they are only asked to play appealing persons, deliberately less-dimensional than real (as opposed to believably hyper-real which is much harder).The director is a first-timer, and it shows. There is simple framing and staging here. In fact, there seems to be a deliberate strategy to be as plain as possible. And that is the core of where I think people find the appeal of this film.The story is very tight in the sense of narrative flow. All the chunks are the same size, with no fancy rhythm. There is no distracting backstory. No element has irony, not writing, acting, shooting, even the score.Now for me, I expect and demand art in my films -- that's why I register this as plain. But I think it is well liked because it is totally without pretense. It is straight and honest; people seem hungry for honesty, and this has the appearance of what they need at just the right time.Is a film great because it merely fulfills? I hope many people think not, and dream that this film moves down the list to be replaced with more intelligent efforts.",4 November 2000
129,Stephen King's prison tale with a happy ending...,Doylenf,"THE SHAWSHANK REDEMPTION is a kind of morality tale that is definitely one of Stephen King's more restrained kind of stories, dealing mostly with a character study of two individuals sharing imprisonment and the consequences that await them when the tale ends.TIM ROBBINS is a man wrongly convicted of murder and serving a long prison term while MORGAN FREEMAN (who plays the narrator with great dignity) describes himself as ""the only guilty man in Shawshank."" The hardships of prison life are captured in brief scenes that make the viewer wish that Robbins will find a way of escape. Along the way, he is gang raped by prisoners and treated harshly by a brutal warden and some of his spirit seems to vanish. But Robbins is quietly effective as a prisoner who makes a good adjustment when he takes charge of the prison library and sees to it that there's a wider selection of books than the kind of potboilers that King is noted for writing. A touch of irony here, no? The closing scenes are a bit of a stretch and a reminder of just who wrote this prison tale--but still, they make an impact because of all that happens before.It's a bittersweet story, a sort of horrific fairy-tale of what might have happened, but the viewer will be caught up in the story because of the tremendously skillful story-telling magic of Stephen King and director Frank Darabont who also wrote the screenplay.",17 September 2006
130,"Not worth the hype, a script full of shortcuts",chadlund,"Stephen King is of course, a gifted storyteller. Maybe this might not be his most personal writing, if you want to read a very insightful book on prison detention and the atrocities and misconducts that exist, read the Star Rover, it is fantastic.To me, this is filled with far too many shortcuts, basically everything is in hand for Dusfrene to escape. The perfect location, the cell on the extremity of the facility floor, yet we can't really see where the foundation leads to, apparently it leads into the pipelines. Also the great timing, the fact that he manages to work out taxes, bills, finances for a 100 person, and in charge of the library, and with a rock hammer that he trades from Red, he breaches a cement wall. I don't get how any of this is realistic - since it's a King's series, might as well turn into a fantasy. But it's incoherent, lacks coherent flow, it intends to empathy with cons who really seem to be very friendly people (sort of), and might be innocent. I'm not sure these people are all quite recommendable and the camaraderie between detainees necessary - it is certainly not the same nature between workers that are part of a union. I fail to understand how a movie can go two hours and then in a span of ten minutes, retrace ten years of escape planning without giving us any hints on where Dusfrene will strike. The scenes where he is revealed that a mobster murdered his wife and her lover makes no sense, it doesn't work, I don't understand it - the scene when he plays opera is tacky - again, this movie reaches. And then of course, a post-modern ending to a movie that is set in the 60s, where two guys meet on the beach, Dusfrene treating a beat up boat. Again, the development reaches, it is just a series of shortcuts that arrange the directors in order to get through it by just being lazy. The performances are dull, there is hardly any real focus, any real acting, it doesn't focus enough on the characters, it moves too fast.This movie just doesn't work.",1 June 2016
131,One of the best movies I have ever seen,AS-5,"This movie is one of the best I have ever seen. I first read the book, and I didn't liked it that much, but then I saw the movie. And that's a things that's never happened to me before, the movie was better than the book. It's the other way normally. But in this case, the movie is so much better, I like the end more than in the book. Watch the movie, it is great.

                    15 out of 22 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",23 April 1999
132,10 out of 10,strikefirst-68052,"Don't want to say any words about this film. Just a perfect 10.

                    30 out of 49 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",5 June 2020
133,So amazing,aurora-41206,"The emotions, the plot, originality, everything tied together so well at the end - normally I criticise the way movies end, but this ending was phenomenal, not cliche at all. The brutality of the prison was well portrayed, and made me feel sorry for the characters.All the characters were believable and had depth, and none of the scenes were dramatic, but there was tension throughout the film. I'm going to stop fangirling now, but this movie is my favourite tied with the Godfather!!

                    12 out of 17 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",1 October 2019
134,For the first time the Movie defeats the Book!,mash34th,"As an omnivorous reader movies are always second to books to me. I believe....movie can never defeat the book because while reading book we use our own imagination....and movie narrows down the imagination.....it only allows us to see how the director has imagined the book.But Believe me...this is not the case of The Shawshank Redemption...which I rate as the best movie I have ever seen.For the first time in history the book(the Stephen King Novella) has been defeated by its movie version.After watching the movie I was crazy about reading the book....I thought wow!the movie is so good...how will be the book!!To tell U frankly,the book is good, but the movie is best.There are some unforgettable scenes in the movie which were not in the book.Some examples are: The scene when Andy locks up the guard and play the opera on the microphone.The narration goes on like..""I didn't understand a single word that Italian lady was singing...but I tell U..for that single second every soul in the Shawshank prison felt free...""The scene just fill my heart with Andy's yearn for freedom...I was kinda shocked when I didn't find it in the original book version.I can remember another scene.While Andy creates the prison library and starts listing books sent to prison from charity organizations...a fellow inmate tries to read a name on the book...Alexandre Dumas as ""Dumb-Ass"". Andy says....""its not Dumb-ass...its Dumas..and U may like the book..The Count of Monty Cristo...its about a jailbreak.And the category it falls is Fiction"" Then Red says..""Why don't we put it on Educational category?""(Right before Andy listed an engineering handbook as ""Educational"" category).As Count of Monticristo is one of my favorite books, I was hysteric watching this sophisticated joke.This was also not in the book.This DVD is my favorite gift I give my friends. And after they watch it....they always thank me . Like many other IMDb friends commenting on this movie..I would also like to say..""Shawshank Redemption is the best movie I have ever seen in my life"".Thanx to all.",17 June 2006
135,Near perfect,Greyrat2,"What can I say about this film that hasn't already been said? The storytelling, music, visuals, characters, emotions, themes, literally everything has been carefully thought out and done exceptionally well.My only problems with it -
Tommy just happens to know the guy who killed Andy's wife and that guy just happens confess everything to Tommy.The fact that literally know one, not even the guards during Inspection bothered to flip a poster even once for 17 whole years.",13 September 2021
136,Hope is a dangerous thing,osnelgro,"'The Shawshank Redemption'... hmm where do I start. 'The Shawshank Redemption' is clearly one of the greatest films ever, I find that it really can show what it would be like trapped in a tiny little prison, eventually you would only think of what's outside the prison instead of inside or you might even become attached to the prison or should I say home.What the audience really enjoy's about this movie is that you have been deceived for you believe through out most of the movie that there is noway out for poor Andy Dufresne and that he is trying to be nice to the guards for a chance of believable. After that you discover that the whole film and everything that has happened has all gone towards the escape of Andy Dufresne and the suicide of the dreadful warden. The audience has been gullible enough to believe that Andy was getting used to the prison. 'The Shawshank Redemption' is clearly not just a movie, it is also beautiful art. Every little piece of the movie was delicately put together to create pure yet daunting art.The story is about Andy Dufresne a wealthy intelligent banker who's wife is having an affair with another man. Eventually both the wife and the other man are killed while having sex, with all evidence pointing to Andy, Andy is sentenced to two life times of prison. In prison Andy does a lot of the workers at the prison's (and that include's the warden) banking. From then of the story is all about Andy in the prison and he idea's of hope and love of music.One of the most beautiful and touching moments in the movie is when Andy locks all the doors in the room that has the microphone and plays opera music of two Italian women singing opera in Italian. Morgen Freeman then say's that he had no idea what the two Italian women were singing but doesn't want to know, he just like to imagine that the words were too beautiful to be sung in English.The acting is brilliant and the directing is directed absolutely unbelievably tremendous. I praise both Morgan Freeman and Tim Robbins for a very touching movie that I will always remember.In conclusion, 'The Shawshank Redemption is one of the greatest films ever that I have ever seen, if you do not like it I will also understand that you didn't listen closer to the brilliant word that were able to come out of the actors mouth.Hope is a dangerous thing.",6 February 2006
137,One of the best movies ever made?,stozasumodrakinetu,"Probably yes, acting was good, plot brilliant, I mean Stephen King wrote the book, but it can't match the film. When I sow this movie I thought ""thats it, this is it, best movie ever"". Sure you can find people who didn't like it, and when I ask ""why"", and try to guess what then happened? They just confused themselves, they can say reason why they don't like this movie... When I try to read comments with 1/10 star, I can't find comment with good reasons that could make me realize, that this movie is a bad movie, If there is no reason, then this means, that its the best movie ever made!The only reason people are giving 1 star is that they don't like ratio ""9,2"", they want to do more effect by pull this high ratio down, I really hate them :) Sorry for my bad English language, I live in EUrope, my English teacher is big cow with no knowledge...

                    36 out of 61 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",29 December 2008
138,"A melodramatic, motherf***ing masterpiece",Science_Fantasy_Guy,"In this review I'm not going to give a plot synopsis of this film because I'm sure everybody else who has commented on it has. However, I will express the positive effect it can have on the viewer if they let it.The acting is uncommonly magnificent. Morgan Freeman delivers the greatest performance of his brilliant career as the seasoned life-serving prisoner Ellis Boyd ""Red"" Redding, Tim Robbins holds his own against Freeman as Andy, the central character, James Whitmore's portrayal of the institutionalized Brooks provides the backbone of the story, Bob Gunton is wonderful as the corrupt Warden Norton, and Clancy Brown's commanding performance as Captain Hadley, the sadistic head prison guard, almost makes him steal the show from Freeman.Frank Darabont's restrained direction of the delicate story is critical for the film to not become sentimental or clichéd, and his beautiful adaptation of the Stephen King story on which the movie is based is a real breath of fresh air. On account of Darabont, the film shows that special effects are not needed to tell a great story in film. As a 17-year-old male, I love special effects movies as much as the next person, but they get boring after a while. Plus many people forget that there was a time in cinema when the blockbuster didn't exist, when they made movies that just told great stories and gave the audience a chance to be uplifted by those stories without the creators having to resort to special effects. I applaud you for having the guts to make a non-commercial film that reminds people of that in this day and age, Mr. Darabont.SPOILER ALERT! As with all truly great films, 'The Shawshank Redemption' is full of scenes that have become entrenched in the public's collective consciousness. There's the scene where Andy plays the opera record over the loudspeaker for all the inmates in the prison, Captain Hadley bashing ""Fat @$$"" to death for crying during his first night in prison (a very powerful scene), Red giving his ""Rehabilitated?"" speech to the board of parole officials, the Warden getting his final judgement, and of course, Andy crawling to freedom through what Red in his narration calls ""500 yards of s**t-smelling foulness I can't even imagine,"", the scene which for me is perhaps the greatest movie scene of the '90s.END OF SPOILERS! I thoroughly recommend this cinematic masterpiece, which has earned its place in my humble top ten films of all time list, to anybody. Whatever gender, age, religion, nationality etc. you are and whatever language you speak, I guarantee it will change your life, or perhaps even save it. Movies like 'The Shawshank Redemption' only come along once every decade, if that. Unforgettable.10/10.",31 January 2006
139,The best movie ever?,joose90,"Before watching Shawshank Redemption for the first time, I really didn't think much of it. I thought it had probably wrongfully earned the #1 spot here on IMDb, and couldn't be better than The Godfather for example. A movie that was ""cool"" to like, if you will. I could imagine fashion conscious movie-hipsters discussing movies over their glasses of Napa Valley Chardonnay, arguing who liked Shawshank Redemption the most, and which movie by Ingmar Bergman had the strongest metaphorical messages. You get the idea.I'm sure everything I have to say about the way the movie has been made has been said better in one of the other comments. That said, the reason I'm posting this review is because Shawshank Redemption isn't only a hardcore movie freak's wet dream. While it's brilliantly written, has some of the most fluent acting I have seen and shows the fantastic directing skills of Frank Darabont, you really don't have to be an expert of film theory to appreciate it. It appeals to so many different groups of people, and so many different human feelings at the same time. The ""weaknesses"" it had as it came out (the idea of a jail movie not being compatible with the female population, and the idea of a movie about lifelong friendship between two men not being compatible with the male population) is actually the reason Shawshank Redemption is loved by nearly all: It offers something for everyone.In my opinion rating something 10/10 is a bit too absolute for anything, but since this is probably the best movie I remember seeing, and my first 10/10, I think I'll let it slide this time.",24 August 2010
140,An average film that does not bear repeated viewing,Jakey boy,"Ok, so this isn't exactly a bad film, but it's extremely hard to see why it holds the no.2 position in the top 250 films. The acting is fine, the twist is gratifying (if a little predictable) and some of the shots are fantastic. However, the film is let down by unrealistic dialogue, especially on the part of Freeman's character, who does not seem able to construct a sentence without using a string of metaphors and similes.The prison warder is a one-dimensional villain with very little allure - we, the viewers, are not credited with much intelligence. Because he is a villain, it therefore follows that he must a be a Nazi, no? Cue references to book-burning etc. Furthermore, the portrayal of Tim Robbins' character as Christ is slightly offensive (check out the shot in which he is shown with his arms thrown up to heaven).In true Hollywood style, there seems to be about five 'endings' - when we think that the excitement (or otherwise) is over, another sequence is tagged onto the end. Despite some fairly violent scenes, life inside Shawshank seems actually rather appealing - a library, plenty of time outside the cells. This, combined with the film's massive length, means that for my mind, The Shawshank Redemption merits only a 6/10.",30 October 2000
141,"Sometimes, we all just don't agree.",lambiepie-2,"Last week, I had seen ""The Lord of the Rings: The Return of the King"" and I feel it is one of the best movies ever made, especially in these hard to entertain folks at the movies for $10 a seat times. I couldn't understand how some, as minority as their voices were, could not like that film.That was until I decided to sit down and write how I feel about this film.
In the 9 years since it has come out, I have attempted to watch it 12 times. Three of those times, I slept through it. I finally took some extra caffine Coke and gave it a twirl -- twice. Sorry, I just didn't warm up to this film. Robbins and Freeman's acting was good, but I guess the story wasn't original -- or surprising to me. I just didn't care about these guys, nor anyone else. It's prison. The guilty as well as the innocent are there -- I get that concept. Sometimes you're released after serving time, sometimes you're not. You make friends...fine. I dunno, kinda reminds me of 4 years of High School or college I guess. I just don't care about those folks no matter what we all did together once I got out, which is why I just didn't care about these and wondered why they should. Move on. Thanks for sharing. Snooze.First I thought, I might not be a big ""prison"" entertainment fan, but then I remembered one of my favorite films is ""Birdman of Alcatraz"" (which I thought much from this film owes homage to), I really fell in love with ""The Green Mile"" (which was more on King's level than this) and I actually sat through a few seasons of HBO's ""Oz"" which was gritty and scary, to say the least. I give everything a chance, in fact -- several chances. But sometimes not all things appeal to all people. For me, this was one of them. (If you're wondering, ""Reservoir Dogs"" is another.)The point is...as I was going to write awful things to those few folks who didn't like ""The Lord of the Rings: The Return of the King"", I find myself here at ""The Shawshank Redemption"", and now I am able to stand where they were -- for a moment -- in the minority.All things are not wonderful to all people.And that's....a good thing.",25 December 2003
142,Simply Perfect,fossilwwjd,"Like I did a few years back, you might be hesitating about watching this film. The title didn't appeal to me, and neither did the subject matter, so it was only by chance that I started to watch it.I can only say that the film was a revelation for me and has stayed with me ever since. There are so many dark and hopeless films out there which, whilst they leave an impression, leave the wrong one i.e that there is no hope in life. Watch this film and be uplifted and be encouraged by the message...that there is ALWAYS hope....in any situation.Please watch this film and the watch it again. It's a great answer to all the cynicism that is out there.

                    13 out of 19 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",1 January 2006
143,NOT just a prison movie,Levi-5,"A film about a Stephen King story? Directed by Frank Darabont.  .  .  Who?  Starring Tim Robbins.  .  .  Wasn't he the guy from Howard the Duck?  I admit, only the sublime acting talents of Morgan Freeman took me along to see this movie.  Now the only questions I have to ask are:  Why didn't EVERYBODY go to see this movie?  and, Why didn't Morgan Freeman win the Oscar?  Tom Hanks is a fine actor but, he should never have beaten Morgan.  Once again a Stephen King short story translates to film better than his horror opus'.  Tim Robbins pulls out his finest performance to date, and, Mr Darabont take a bow.  Very rarely are you left with a large smile and warm heart at the end of a movie but, I could have danced as the camera slowly panned back from the beach.  .  .  Perfect.

                    14 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",7 August 1998
